Mes;Precio interno;;;;;;;;;;;;;;;
ene-44;44;;;;;;;;;;;;;;;
feb-44;44;;;;;;;;;;;;;;;
mar-44;47;;;;;;;;;;;;;;;
abr-44;47;;;;;;;;;;;;;;;
may-44;47;;;;;;;;;;;;;;;
jun-44;48;;;;;;;;;;;;;;;
jul-44;49;;;;;;;;;;;;;;;
ago-44;49;;;;;;;;;;;;;;;
sep-44;51;;;;;;;;;;;;;;;
oct-44;51;;;;;;;;;;;;;;;
nov-44;51;;;;;;;;;;;;;;;
dic-44;51;;;;;;;;;;;;;;;
ene-45;51;;;;;;;;;;;;;;;
feb-45;52;;;;;;;;;;;;;;;
mar-45;52;;;;;;;;;;;;;;;
abr-45;52;;;;;;;;;;;;;;;
may-45;52;;;;;;;;;;;;;;;
jun-45;52;;;;;;;;;;;;;;;
jul-45;52;;;;;;;;;;;;;;;
ago-45;52;;;;;;;;;;;;;;;
sep-45;52;;;;;;;;;;;;;;;
oct-45;52;;;;;;;;;;;;;;;
nov-45;56;;;;;;;;;;;;;;;
dic-45;63;;;;;;;;;;;;;;;
ene-46;63;;;;;;;;;;;;;;;
feb-46;63;;;;;;;;;;;;;;;
mar-46;63;;;;;;;;;;;;;;;
abr-46;63;;;;;;;;;;;;;;;
may-46;63;;;;;;;;;;;;;;;
jun-46;64;;;;;;;;;;;;;;;
jul-46;72;;;;;;;;;;;;;;;
ago-46;80;;;;;;;;;;;;;;;
sep-46;80;;;;;;;;;;;;;;;
oct-46;80;;;;;;;;;;;;;;;
nov-46;92;;;;;;;;;;;;;;;
dic-46;92;;;;;;;;;;;;;;;
ene-47;92;;;;;;;;;;;;;;;
feb-47;92;;;;;;;;;;;;;;;
mar-47;92;;;;;;;;;;;;;;;
abr-47;92;;;;;;;;;;;;;;;
may-47;92;;;;;;;;;;;;;;;
jun-47;92;;;;;;;;;;;;;;;
jul-47;92;;;;;;;;;;;;;;;
ago-47;92;;;;;;;;;;;;;;;
